FranchiseID,Season,Lg,TeamID,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,TopWS,Rien
CHI,1994,NBA,CHI,47,35,.573,3,4.32,92.0,-0.9,109.5,1.2,104.3,-4.0,Lost E. Conf. Semis,ppippesc01,
CHI,1993,NBA,CHI,55,27,.671,2,2.87,91.9,-3.2,106.1,-0.2,102.7,-3.6,Lost E. Conf. Semis,ppippesc01,
CHI,1992,NBA,CHI,57,25,.695,1,6.19,92.5,-4.3,112.9,4.9,106.1,-1.9,Won Finals,jjordami01,
CHI,1991,NBA,CHI,67,15,.817,1,10.07,94.4,-2.2,115.5,7.3,104.5,-3.7,Won Finals,jjordami01,
CHI,1990,NBA,CHI,61,21,.744,1,8.57,95.6,-2.2,114.6,6.7,105.2,-2.7,Won Finals,jjordami01,
CHI,1989,NBA,CHI,55,27,.671,2,2.74,96.7,-1.6,112.3,4.2,109.0,0.9,Lost E. Conf. Finals,jjordami01,
CHI,1988,NBA,CHI,47,35,.573,5,2.13,97.0,-3.6,109.1,1.3,107.7,-0.1,Lost E. Conf. Finals,jjordami01,
CHI,1987,NBA,CHI,50,32,.610,2,3.76,95.5,-4.1,109.0,1.0,105.5,-2.5,Lost E. Conf. Semis,jjordami01,
CHI,1986,NBA,CHI,40,42,.488,5,1.26,95.8,-5.0,108.6,0.3,107.6,-0.7,Lost E. Conf. 1st Rnd.,jjordami01,
CHI,1985,NBA,CHI,30,52,.366,4,-3.12,99.7,-2.4,108.6,1.4,112.4,5.2,Lost E. Conf. 1st Rnd.,wwoolror01,
CHI,1984,NBA,CHI,38,44,.463,3,-0.50,99.4,-2.7,108.7,0.8,109.6,1.7,Lost E. Conf. 1st Rnd.,jjordami01,
CHI,1983,NBA,CHI,27,55,.329,5,-4.69,99.8,-1.6,102.4,-5.2,107.5,-0.1,,ggreenda01,
CHI,1982,NBA,CHI,28,54,.341,4,-4.41,106.1,3.0,103.4,-1.3,108.0,3.3,,ttheusre01,
CHI,1981,NBA,CHI,34,48,.415,5,-1.57,99.0,-1.9,106.6,-0.3,108.6,1.7,,ggilmoar01,
CHI,1980,NBA,CHI,45,37,.549,2,2.34,100.6,-1.2,107.8,2.3,105.8,0.3,Lost E. Conf. Semis,ggilmoar01,
CHI,1979,NBA,CHI,30,52,.366,4,-2.63,101.8,-1.3,104.3,-1.0,107.0,1.7,,ttheusre01,
CHI,1978,NBA,CHI,31,51,.378,5,-3.78,102.9,-2.9,101.3,-2.5,105.1,1.3,,ggilmoar01,
CHI,1977,NBA,CHI,40,42,.488,3,-0.79,101.5,-5.2,102.0,1.1,102.9,2.0,,ggilmoar01,
CHI,1976,NBA,CHI,44,38,.537,3,0.92,100.0,-6.5,98.3,-1.2,97.4,-2.1,Lost W. Conf. 1st Rnd.,ggilmoar01,
CHI,1975,NBA,CHI,24,58,.293,4,-2.89,100.3,-5.2,95.2,-3.1,98.0,-0.3,,jjohnsmi01,
CHI,1974,NBA,CHI,47,35,.573,1,2.88,99.7,-4.8,97.4,-0.3,94.4,-3.3,Lost W. Conf. Finals,wwalkech01,
CHI,1973,NBA,CHI,54,28,.659,2,3.20,105.0,-2.8,96.7,-1.0,93.6,-4.1,Lost W. Conf. Finals,wwalkech01,
CHI,1972,NBA,CHI,51,31,.622,2,3.43,104.5,-6.2,98.9,2.1,95.6,-1.2,Lost W. Conf. Semis,wwalkech01,
CHI,1971,NBA,CHI,57,25,.695,2,7.91,108.6,-3.4,101.9,4.0,94.3,-3.6,Lost W. Conf. Semis,wwalkech01,
CHI,1970,NBA,CHI,51,31,.622,2,5.47,109.7,-5.4,100.5,3.3,95.7,-1.5,Lost W. Conf. Semis,wwalkech01,
CHI,1969,NBA,CHI,39,43,.476,4,-1.71,116.5,-0.6,97.6,-1.4,99.1,0.1,Lost W. Div. Semis,wwalkech01,
CHI,1968,NBA,CHI,33,49,.402,5,-2.11,113.4,-3.5,92.0,-3.5,94.0,-1.5,,bboozebo01,
CHI,1967,NBA,CHI,29,53,.354,4,-3.76,115.7,-4.1,94.1,-2.7,97.5,0.7,Lost W. Div. Semis,bboozebo01,
CHI,1966,NBA,CHI,33,48,.407,4,-3.37,122.2,0.6,92.3,-3.8,95.4,-0.7,Lost W. Div. Semis,bboozebo01,
